uid,house_unit,person_number,area_code,state,age,citiz_status,worker_class,self_care_difc,hearing_difc,vision_difc,independent_live_difc,cognitive_difc,english,gave_birth_last_y,commute_time,dividend_income,commute_means,marital_status,times_married,year_last_married,military_status,avail_for_work,looking_for_work,all_other_income,public_assist_income,relationship,retirement_income,school_enrollment,educ_reached,self_emp_income,sex,wage,hours_work,weeks_worked,ancestry,disability,degree,industry,time_arr_wrk,time_dep_wrk,lang,place_of_birth,race,soc_code,has_insurance,moved_state
389879,959600,5,1905,california,13,born_in_the_us,,no,no,no,,no,very_well,,,,,never_married_or_und,,,,,,,,stepson_or_stepdaugh,,public,grade_7,,male,,,,not_reported,without_a_disability,,,,,hmong,california,asian_alone,,no,False
140444,979547,2,800,arkansas,16,born_in_the_us,,no,no,no,no,no,,,,0.0,,never_married_or_und,,,,did_not_report,no,0.0,0.0,biological_son_or_da,0.0,public,grade_9,0.0,male,0.0,,,white,without_a_disability,,,,,,arkansas,white_alone,,no,False
341082,761384,1,6510,california,63,born_in_the_us,emp_private,no,no,no,no,no,,,144.0,0.0,car_truck_or_van,married,3.0,2008.0,never_served,did_not_report,did_not_report,0.0,0.0,reference_person,0.0,no,1_or_more_years_of_c,0.0,female,156000.0,45.0,51.0,italian,without_a_disability,,fin,12.333333333333336,9.0,,california,white_alone,sal,no,False
617625,1180762,1,101,delaware,76,born_in_the_us,emp_private,no,no,no,no,no,,,,0.0,worked_at_home,divorced,2.0,1973.0,never_served,did_not_report,did_not_report,0.0,0.0,reference_person,0.0,no,grade_9,0.0,female,20000.0,40.0,51.0,african_american,without_a_disability,,mfg,,,,tennessee,black_or_african_ame,cln,no,True
881358,996647,4,3400,georgia,12,born_in_the_us,,no,no,no,,yes,,,,,,never_married_or_und,,,,,,,,biological_son_or_da,,public,grade_7,,female,,,,native_american,with_a_disability,,,,,,georgia,white_alone,,no,False
145863,1241337,2,800,arkansas,61,born_in_the_us,,no,no,no,no,no,,,,0.0,,married,3.0,2005.0,never_served,did_not_report,did_not_report,0.0,0.0,husband/wife,0.0,no,some_college_but_les,0.0,female,0.0,,,not_reported,without_a_disability,,,,,,arkansas,white_alone,,no,False
769303,1119815,2,7301,florida,23,born_in_the_us,emp_private,no,no,no,no,no,,no,,0.0,,never_married_or_und,,,never_served,did_not_report,no,0.0,0.0,housemate_or_roommat,0.0,public,bachelor's_degree,0.0,female,0.0,,,polish,without_a_disability,communication_disord,sca,,,,wisconsin,white_alone,prs,no,True
112249,1286254,8,800,arizona,4,born_in_the_us,,,no,no,,,,,,,,never_married_or_und,,,,,,,,grandchild,,no,no_schooling_complet,,female,,,,not_reported,without_a_disability,,,,,,hawaii,american_indian_alon,,no,True
993514,583537,4,2000,illinois,10,born_in_the_us,,no,no,no,,no,,,,,,never_married_or_und,,,,,,,,biological_son_or_da,,public,grade_4,,male,,,,american_indian,without_a_disability,,,,,,illinois,white_alone,,no,False
556353,978147,4,400,colorado,4,born_in_the_us,,,no,no,,,,,,,,never_married_or_und,,,,,,,,biological_son_or_da,,private,nursery_school_presc,,male,,,,italian,without_a_disability,,,,,,colorado,two_or_more_races,,no,False
901304,1304690,3,3005,georgia,17,born_in_the_us,,no,no,no,no,no,very_well,no,,0.0,,never_married_or_und,,,never_served,did_not_report,no,0.0,0.0,biological_son_or_da,0.0,public,grade_11,0.0,female,0.0,,,mexican,without_a_disability,,,,,spanish,ohio,white_alone,,no,True
860909,684504,1,2700,georgia,43,born_in_the_us,emp_private,no,no,no,no,no,,no,20.0,0.0,car_truck_or_van,married,1.0,2001.0,never_served,did_not_report,did_not_report,0.0,0.0,reference_person,0.0,no,bachelor's_degree,0.0,female,81000.0,48.0,51.0,cherokee,without_a_disability,business_management_,mfg,7.666666666666668,7.333333333333332,,georgia,white_alone,mgr,no,False
232163,327317,2,5302,california,49,not_a_citizen_of_the,emp_private,no,no,no,no,no,not_at_all,,10.0,0.0,car_truck_or_van,married,1.0,1990.0,never_served,did_not_report,did_not_report,3600.0,0.0,husband/wife,0.0,no,grade_6,0.0,male,25000.0,40.0,33.0,mexican,without_a_disability,,agr,4.166666666666667,4.0,spanish,mexico,white_alone,trn,no,True
